"filename", "language", "JavaScript", "SCSS", "Markdown", "TypeScript", "JSON", "JSON with Comments", "TypeScript JSX", "XML", "comment", "blank", "total"
"/home/timy/school/diplomarbeit/client/chat-client/components/profile/profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 10, 19, 54
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/chatAccordion/chatAccordion.interface.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/chatAccordion/chatAccordion.module.scss", "SCSS", 0, 41, 0, 0, 0, 0, 0, 0, 2, 6, 49
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/chatAccordion/chatAccordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 5, 14, 92
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/createChatButton/CreateChatButton.interface.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/createChatButton/CreateChatButton.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/createChatButton/CreateChatButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/filterInput/FilterInput.interface.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/filterInput/FilterInput.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/filterInput/FilterInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 1, 5, 23
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/logoutButton/logoutButton.interface.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/logoutButton/logoutButton.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/logoutButton/logoutButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 4, 10, 59
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/message/Message.interface.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/message/Message.module.scss", "SCSS", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/message/Message.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 4, 25
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/newChatOverlay/NewChatOverlay.interface.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/newChatOverlay/NewChatOverlay.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/newChatOverlay/NewChatOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 123, 0, 11, 18, 152
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/newRoomOverlay/NewRoomOverlay.interface.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 5
"/home/timy/school/diplomarbeit/client/chat-client/components/ui/newRoomOverlay/NewRoomOverlay.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
